"","Area","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12..Vatten.eller.bostäder","X13..Service.eller.grönområden","X14..Centralort.eller.mindre.tätort"
"1","Antuna /Älvsunda",5,8,11,6,7,5,6,8,7,13,9,10,8,7,6,11,6,3,10,7,1,11,2,8,4,6,8,6,8,7,3,4,5,6,7,6,8,9,11,8,8,6,8,5,11,8,4,5,6,7,8,4,5,5,3,6,4,2,4,7,0,0,0
"2","Brunnby/Vik",9,8,8,9,8,9,9,8,7,7,8,8,8,8,9,8,9,8,8,9,10,8,8,8,8,9,8,9,11,10,9,10,10,9,10,10,11,11,8,8,10,10,9,7,7,10,9,9,9,10,5,5,4,7,6,8,8,8,7,6,6,5,4
"3","Carlslund/Brunnby Park",10,9,8,10,9,10,9,8,6,8,8,8,8,9,10,10,10,8,10,10,9,8,9,8,8,9,9,10,11,11,8,10,10,10,10,10,11,10,9,9,10,10,10,7,9,9,10,10,10,10,7,6,6,9,7,10,9,10,9,8,6,5,5
"4","Dragonvägen",10,9,7,11,9,11,10,7,8,6,6,8,7,9,10,8,10,9,9,10,10,7,9,8,8,10,9,10,12,11,9,11,10,11,10,10,12,11,10,9,11,11,11,8,8,10,10,10,10,11,8,6,5,8,7,9,9,10,9,7,7,5,4
"5","Eds Glesbygd",9,7,7,8,8,9,9,7,7,5,8,6,7,9,9,6,7,6,8,8,8,7,9,7,8,9,7,9,11,10,8,9,9,9,10,8,10,10,8,8,10,9,9,8,6,8,8,9,9,8,5,5,5,5,5,8,7,8,7,6,6,7,5
"6","Ekebo",11,10,7,10,9,10,10,8,9,6,8,9,7,9,10,9,11,9,10,11,11,9,9,9,10,11,6,11,11,11,10,11,11,10,10,11,11,11,9,10,10,10,11,8,9,10,11,11,10,11,8,7,6,8,8,9,9,8,10,7,7,6,5
"7","Ekeby/Sköldnora",8,8,5,9,7,7,7,7,6,6,6,7,8,6,7,8,7,7,9,7,6,7,8,7,7,8,7,7,8,7,6,7,6,8,9,8,7,7,7,8,8,9,8,6,6,9,7,7,8,8,6,3,3,4,4,7,4,7,6,6,7,6,5
"8","Folkparksområdet",10,9,8,9,8,10,9,8,6,8,9,8,7,9,10,9,9,9,9,10,9,8,9,8,8,10,9,10,11,10,9,10,11,10,10,10,10,10,9,9,11,11,9,9,8,10,10,10,10,10,7,5,5,7,7,7,7,8,9,6,5,6,4
"9","Fresta glesbygd",7,7,8,7,9,8,7,7,5,9,7,7,7,7,8,8,9,7,9,9,10,6,9,6,7,8,7,8,10,8,7,8,9,8,9,9,9,9,8,6,8,9,8,6,6,8,8,9,9,9,3,3,2,4,3,5,6,6,4,4,5,4,6
"10","Frestaby",10,7,7,10,8,9,9,8,7,7,7,7,8,8,9,8,8,8,8,9,9,8,9,7,8,10,8,10,11,11,8,9,10,10,10,10,11,10,9,9,10,10,8,7,7,9,9,9,9,10,6,4,4,6,5,8,8,9,8,5,7,6,5
