"","X","X1a","X1b","X1c","X1d","X1e","X2a","X2b","X2c","X2d","X2e","X3a","X3b","X3c","X3d","X3e","X4a","X4b","X4c","X4d","X4e","X5a","X5b","X5c","X5d","X5e","X6a","X6b","X6c","X6d","X6e","X7a","X7b","X7c","X7d","X7e","X8a","X8b","X8c","X8d","X8e","X9a","X9b","X9c","X9d","X9e","X10a","X10b","X10c","X10d","X10e","X11.1","X11.2","X11.3","X11.4","X11.5","X11.6","X11.7","X11.8","X11.9","X11.10","X12","X13","X14","Area","Utbildningsnivå","Sysselsättning","Tid.i.UppVäs","Ålder","Kön"
"1",1,10,3,11,11,3,11,11,4,5,7,10,11,11,4,11,10,12,6,9,10,14,9,14,6,14,9,3,11,11,7,11,14,8,14,14,11,11,11,11,11,14,14,14,5,7,9,5,10,9,10,1,3,1,4,14,14,5,14,13,1,5,4,9,"Smedby 3","Grundskola eller motsvarande obligatorisk skola","Arbetssökande eller i arbetsmarknadspolitisk åtgärd","10 år eller mer","45-54","Kvinna"
"2",2,14,14,14,7,7,14,14,14,5,14,7,7,7,7,7,14,3,5,13,7,7,7,7,7,7,4,6,14,14,9,14,13,13,13,13,14,14,14,13,13,14,14,14,6,14,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,5,5,5,"Runby","Högskola/universitet","Pensionär","10 år eller mer","65+","Vill ej uppge"
"3",3,7,7,7,7,7,11,11,8,11,7,4,10,10,7,7,10,7,8,10,7,9,9,9,9,11,11,8,10,11,11,8,10,10,10,11,14,14,11,9,11,10,11,11,3,7,11,11,11,11,11,6,6,6,6,9,12,12,12,6,6,9,2,2,"Vilunda/Korpkulla","Högskola/universitet","Pensionär","10 år eller mer","65+","Man"
"4",4,9,6,8,10,9,9,8,8,5,9,8,8,6,9,7,8,8,6,8,9,13,8,8,6,8,10,9,9,11,10,9,9,10,8,8,8,10,10,8,8,8,8,8,8,7,8,6,7,7,7,1,1,1,2,12,11,11,11,10,6,3,3,3,"Norra Nordanvägen","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Kvinna"
"5",5,13,12,14,11,14,14,10,9,8,7,7,7,7,7,7,10,11,6,8,14,11,6,6,6,10,14,7,14,14,14,12,14,11,10,14,14,14,13,14,7,8,7,7,12,7,13,12,8,14,14,11,3,3,10,9,14,12,14,13,2,9,9,8,"Runby","Högskola/universitet","Egen företagare","10 år eller mer","45-54","Man"
"6",6,7,7,9,7,7,11,10,7,7,4,11,7,7,7,7,8,9,7,7,7,8,9,7,7,7,8,9,11,11,8,7,7,7,11,7,8,10,10,10,8,9,8,8,4,8,7,7,7,7,7,8,3,4,10,11,14,9,14,6,6,8,5,5,"Grimstaby","Grundskola eller motsvarande obligatorisk skola","Egen företagare","10 år eller mer","35-44","Man"
"7",7,10,8,9,6,9,11,6,8,6,8,8,6,6,7,7,8,11,7,8,11,13,13,12,11,11,8,9,10,14,14,10,10,14,10,9,8,14,13,9,14,9,6,10,7,7,8,8,8,14,8,3,14,3,14,9,12,14,12,6,3,4,4,6,"Lindhemsvägen","Gymnasium, folkhögskola eller motsvarande","Förvärvsarbetande (anställd)","10 år eller mer","25-34","Kvinna"
"8",8,9,8,6,8,8,9,8,8,6,6,8,6,8,8,8,7,8,10,6,9,11,8,8,6,8,8,9,8,9,9,8,8,9,8,8,8,9,9,8,6,8,8,8,6,6,8,8,8,8,10,1,1,1,1,1,1,2,2,2,1,7,5,4,"Frestaby","Högskola/universitet","Pensionär","10 år eller mer","65+","Kvinna"
"9",9,11,11,11,11,11,11,11,10,10,3,5,0,9,10,14,14,14,6,12,10,10,3,13,14,7,14,6,14,14,14,12,10,14,10,14,14,14,14,6,9,14,14,14,14,14,8,14,7,14,14,5,4,10,14,3,14,14,14,14,7,10,5,6,"Sjukyrkoberget","Gymnasium, folkhögskola eller motsvarande","Pensionär","10 år eller mer","55-64","Man"
"10",10,7,5,6,6,9,8,6,9,8,7,7,6,8,7,7,8,9,7,8,7,7,7,7,7,7,11,6,8,11,9,5,6,6,9,7,8,11,9,5,11,10,12,14,7,7,7,7,7,7,7,1,1,1,1,1,6,4,7,9,1,5,6,6,"Runby","Gymnasium, folkhögskola eller motsvarande","Egen företagare","10 år eller mer","45-54","Man"
